Date,Store,Series,UnitsSold,UnitPrice,SalesAmount
2024/1/2,Miami,KD,0,124.81,0
2024/1/2,Miami,Kyrie,16,134.19,2147.04
2024/1/3,New York,Luka,2,126.32,252.64
2024/1/3,New York,Jordan,3,147.22,441.66
2024/1/3,New York,LeBron,0,135.84,0
2024/1/3,New York,KD,7,128.87,902.09
2024/1/3,New York,Kyrie,15,115.93,1738.95
2024/1/3,Los Angeles,Luka,12,126.67,1520.04
2024/1/3,Los Angeles,Jordan,6,146.52,879.12
2024/1/3,Los Angeles,LeBron,7,136.16,953.12
2024/1/3,Los Angeles,KD,8,131.14,1049.12
2024/1/3,Los Angeles,Kyrie,1,123.66,123.66
2024/1/3,Chicago,Luka,0,114.02,0
2024/1/3,Chicago,Jordan,15,152.51,2287.65
2024/1/3,Chicago,LeBron,1,146.22,146.22
2024/1/3,Chicago,KD,5,130.84,654.2
2024/1/3,Chicago,Kyrie,16,123.9,1982.4
2024/1/3,Houston,Luka,12,125.69,1508.28
2024/1/3,Houston,Jordan,0,149.67,0
2024/1/3,Houston,LeBron,12,142.2,1706.4
2024/1/3,Houston,KD,9,129.79,1168.11
2024/1/3,Houston,Kyrie,3,133.69,401.07
2024/1/3,Miami,Luka,3,111.82,335.46
2024/1/3,Miami,Jordan,18,151.71,2730.78
2024/1/3,Miami,LeBron,4,139.89,559.56
2024/1/3,Miami,KD,6,124.14,744.84
2024/1/3,Miami,Kyrie,8,130.78,1046.24
2024/1/4,New York,Luka,14,112.33,1572.62
2024/1/4,New York,Jordan,10,148.85,1488.5
2024/1/4,New York,LeBron,3,131.75,395.25
2024/1/4,New York,KD,17,124.89,2123.13
2024/1/4,New York,Kyrie,11,120.62,1326.82
2024/1/4,Los Angeles,Luka,12,115.18,1382.16
2024/1/4,Los Angeles,Jordan,17,152.49,2592.33
2024/1/4,Los Angeles,LeBron,0,137.17,0
2024/1/4,Los Angeles,KD,2,124.12,248.24
2024/1/4,Los Angeles,Kyrie,11,121.61,1337.71
2024/1/4,Chicago,Luka,3,110.98,332.94
2024/1/4,Chicago,Jordan,6,145.4,872.4
2024/1/4,Chicago,LeBron,10,137.89,1378.9
2024/1/4,Chicago,KD,5,120.33,601.65
2024/1/4,Chicago,Kyrie,6,131.22,787.32
2024/1/4,Houston,Luka,10,128.88,1288.8
2024/1/4,Houston,Jordan,17,151.99,2583.83
2024/1/4,Houston,LeBron,20,131.9,2638
2024/1/4,Houston,KD,5,130.48,652.4
2024/1/4,Houston,Kyrie,6,132.66,795.96
2024/1/4,Miami,Luka,15,114.6,1719
2024/1/4,Miami,Jordan,3,157.26,471.78
2024/1/4,Miami,LeBron,15,146.1,2191.5
2024/1/4,Miami,KD,5,135.44,677.2
2024/1/4,Miami,Kyrie,3,126.59,379.77
2024/1/5,New York,Luka,8,128.48,1027.84
2024/1/5,New York,Jordan,1,157.34,157.34
2024/1/5,New York,LeBron,12,135.11,1621.32
2024/1/5,New York,KD,16,138.71,2219.36
2024/1/5,New York,Kyrie,11,127.04,1397.44
2024/1/5,Los Angeles,Luka,5,114.65,573.25
2024/1/5,Los Angeles,Jordan,16,152.26,2436.16
2024/1/5,Los Angeles,LeBron,5,145.06,725.3
2024/1/5,Los Angeles,KD,0,134.61,0
2024/1/5,Los Angeles,Kyrie,2,119.32,238.64
2024/1/5,Chicago,Luka,17,119.66,2034.22
2024/1/5,Chicago,Jordan,20,142.07,2841.4
2024/1/5,Chicago,LeBron,11,130.02,1430.22
2024/1/5,Chicago,KD,19,124.31,2361.89
2024/1/5,Chicago,Kyrie,5,117.08,585.4
2024/1/5,Houston,Luka,9,129.25,1163.25
2024/1/5,Houston,Jordan,14,156.2,2186.8
2024/1/5,Houston,LeBron,20,143.41,2868.2
2024/1/5,Houston,KD,15,126.27,1894.05
2024/1/5,Houston,Kyrie,15,121.98,1829.7
2024/1/5,Miami,Luka,3,121.84,365.52
2024/1/5,Miami,Jordan,4,154.62,618.48
2024/1/5,Miami,LeBron,6,138.34,830.04
2024/1/5,Miami,KD,11,129.57,1425.27
2024/1/5,Miami,Kyrie,18,128.04,2304.72
2024/1/6,New York,Luka,11,123.8,1361.8
2024/1/6,New York,Jordan,14,141.52,1981.28
2024/1/6,New York,LeBron,1,141.86,141.86
2024/1/6,New York,KD,16,124.17,1986.72
2024/1/6,New York,Kyrie,12,126.49,1517.88
2024/1/6,Los Angeles,Luka,19,116.31,2209.89
2024/1/6,Los Angeles,Jordan,10,143.67,1436.7
2024/1/6,Los Angeles,LeBron,12,136.72,1640.64
2024/1/6,Los Angeles,KD,4,132.5,530
2024/1/6,Los Angeles,Kyrie,4,131.57,526.28
2024/1/6,Chicago,Luka,4,112.81,451.24
2024/1/6,Chicago,Jordan,9,147.76,1329.84
2024/1/6,Chicago,LeBron,4,130.96,523.84
2024/1/6,Chicago,KD,12,137.96,1655.52
2024/1/6,Chicago,Kyrie,19,122.99,2336.81
2024/1/6,Houston,Luka,1,121.84,121.84
2024/1/6,Houston,Jordan,12,146.31,1755.72
2024/1/6,Houston,LeBron,20,135.45,2709
2024/1/6,Houston,KD,16,138.46,2215.36
2024/1/6,Houston,Kyrie,6,116.38,698.28
2024/1/6,Miami,Luka,15,113.67,1705.05
2024/1/6,Miami,Jordan,16,140.76,2252.16
2024/1/6,Miami,LeBron,9,143.93,1295.37
2024/1/6,Miami,KD,10,126.37,1263.7
2024/1/6,Miami,Kyrie,8,125.07,1000.56
2024/1/7,New York,Luka,3,115.08,345.24
2024/1/7,New York,Jordan,1,151.93,151.93
2024/1/7,New York,LeBron,20,134.59,2691.8
2024/1/7,New York,KD,4,133.4,533.6
2024/1/7,New York,Kyrie,15,133.24,1998.6
2024/1/7,Los Angeles,Luka,14,128.51,1799.14
2024/1/7,Los Angeles,Jordan,14,145.31,2034.34
2024/1/7,Los Angeles,LeBron,5,147.03,735.15
2024/1/7,Los Angeles,KD,3,133.87,401.61
2024/1/7,Los Angeles,Kyrie,10,134.58,1345.8
2024/1/7,Chicago,Luka,8,128.69,1029.52
2024/1/7,Chicago,Jordan,12,149.3,1791.6
2024/1/7,Chicago,LeBron,20,145.5,2910
2024/1/7,Chicago,KD,16,139.96,2239.36
2024/1/7,Chicago,Kyrie,19,128.08,2433.52
2024/1/7,Houston,Luka,9,120.39,1083.51
2024/1/7,Houston,Jordan,16,151.54,2424.64
2024/1/7,Houston,LeBron,3,135.27,405.81
2024/1/7,Houston,KD,7,124.95,874.65
2024/1/7,Houston,Kyrie,10,121.64,1216.4
2024/1/7,Miami,Luka,4,115.9,463.6
2024/1/7,Miami,Jordan,19,148.36,2818.84
2024/1/7,Miami,LeBron,2,140.02,280.04
2024/1/7,Miami,KD,10,139.64,1396.4
2024/1/7,Miami,Kyrie,18,121.95,2195.1
2024/1/8,New York,Luka,19,125.58,2386.02
2024/1/8,New York,Jordan,2,146.32,292.64
2024/1/8,New York,LeBron,18,142.95,2573.1
2024/1/8,New York,KD,18,126.83,2282.94
2024/1/8,New York,Kyrie,7,121.48,850.36
2024/1/8,Los Angeles,Luka,2,129.24,258.48
2024/1/8,Los Angeles,Jordan,1,153.02,153.02
2024/1/8,Los Angeles,LeBron,11,147.01,1617.11
2024/1/8,Los Angeles,KD,3,138.21,414.63
2024/1/8,Los Angeles,Kyrie,2,119.38,238.76
2024/1/8,Chicago,Luka,10,113.55,1135.5
2024/1/8,Chicago,Jordan,13,148.66,1932.58
2024/1/8,Chicago,LeBron,18,130.41,2347.38
2024/1/8,Chicago,KD,11,138.54,1523.94
2024/1/8,Chicago,Kyrie,1,119.55,119.55
2024/1/8,Houston,Luka,20,114.58,2291.6
2024/1/8,Houston,Jordan,1,146.75,146.75
2024/1/8,Houston,LeBron,7,137.31,961.17
2024/1/8,Houston,KD,15,122.66,1839.9
2024/1/8,Houston,Kyrie,13,132.59,1723.67
2024/1/8,Miami,Luka,16,115.69,1851.04
2024/1/8,Miami,Jordan,6,153.9,923.4
2024/1/8,Miami,LeBron,10,133.39,1333.9
2024/1/8,Miami,KD,5,138.62,693.1
2024/1/8,Miami,Kyrie,19,123.88,2353.72
2024/1/9,New York,Luka,0,129.31,0
2024/1/9,New York,Jordan,5,146.97,734.85
2024/1/9,New York,LeBron,5,137.95,689.75
2024/1/9,New York,KD,7,136.78,957.46
2024/1/9,New York,Kyrie,19,124.14,2358.66
2024/1/9,Los Angeles,Luka,0,122.52,0
2024/1/9,Los Angeles,Jordan,0,141.59,0
2024/1/9,Los Angeles,LeBron,9,144.44,1299.96
2024/1/9,Los Angeles,KD,10,124.42,1244.2
2024/1/9,Los Angeles,Kyrie,1,127.05,127.05
2024/1/9,Chicago,Luka,13,116.72,1517.36
2024/1/9,Chicago,Jordan,19,143.68,2729.92
2024/1/9,Chicago,LeBron,12,133.28,1599.36
2024/1/9,Chicago,KD,20,132.55,2651
2024/1/9,Chicago,Kyrie,8,134.95,1079.6
2024/1/9,Houston,Luka,18,128.2,2307.6
2024/1/9,Houston,Jordan,0,144.15,0
2024/1/9,Houston,LeBron,15,147.66,2214.9
2024/1/9,Houston,KD,11,134.36,1477.96
2024/1/9,Houston,Kyrie,4,127.54,510.16
2024/1/9,Miami,Luka,3,120.6,361.8
2024/1/9,Miami,Jordan,8,152.06,1216.48
2024/1/9,Miami,LeBron,11,136.94,1506.34
2024/1/9,Miami,KD,9,132.53,1192.77
2024/1/9,Miami,Kyrie,17,127.5,2167.5
2024/1/10,New York,Luka,1,122.31,122.31
2024/1/10,New York,Jordan,6,142.84,857.04
2024/1/10,New York,LeBron,6,149.16,894.96
2024/1/10,New York,KD,14,135.56,1897.84
2024/1/10,New York,Kyrie,5,128.92,644.6
2024/1/10,Los Angeles,Luka,18,115.37,2076.66
2024/1/10,Los Angeles,Jordan,10,149,1490
2024/1/10,Los Angeles,LeBron,18,140.2,2523.6
2024/1/10,Los Angeles,KD,5,125.87,629.35
2024/1/10,Los Angeles,Kyrie,10,116,1160
2024/1/10,Chicago,Luka,12,120.91,1450.92
2024/1/10,Chicago,Jordan,17,155.64,2645.88
2024/1/10,Chicago,LeBron,0,136.59,0
2024/1/10,Chicago,KD,19,124.19,2359.61
2024/1/10,Chicago,Kyrie,3,124.42,373.26
2024/1/10,Houston,Luka,8,115.25,922
2024/1/10,Houston,Jordan,8,159.66,1277.28
2024/1/10,Houston,LeBron,14,140.55,1967.7
2024/1/10,Houston,KD,5,136.72,683.6
2024/1/10,Houston,Kyrie,17,122.46,2081.82
2024/1/10,Miami,Luka,7,115.28,806.96
2024/1/10,Miami,Jordan,11,141.44,1555.84
2024/1/10,Miami,LeBron,14,145.58,2038.12
2024/1/10,Miami,KD,0,135.47,0
2024/1/10,Miami,Kyrie,0,123.73,0
2024/1/11,New York,Luka,12,114.48,1373.76
2024/1/11,New York,Jordan,14,158.63,2220.82
2024/1/11,New York,LeBron,20,133.87,2677.4
2024/1/11,New York,KD,1,128.6,128.6
2024/1/11,New York,Kyrie,13,118.19,1536.47
2024/1/11,Los Angeles,Luka,7,125.91,881.37
2024/1/11,Los Angeles,Jordan,8,148.74,1189.92
2024/1/11,Los Angeles,LeBron,17,141.53,2406.01
2024/1/11,Los Angeles,KD,3,135.89,407.67
2024/1/11,Los Angeles,Kyrie,8,125.96,1007.68
2024/1/11,Chicago,Luka,5,121.81,609.05
2024/1/11,Chicago,Jordan,14,147.48,2064.72
2024/1/11,Chicago,LeBron,9,134.51,1210.59
2024/1/11,Chicago,KD,9,123.86,1114.74
2024/1/11,Chicago,Kyrie,18,121.82,2192.76
2024/1/11,Houston,Luka,10,112.11,1121.1
2024/1/11,Houston,Jordan,3,146.29,438.87
2024/1/11,Houston,LeBron,14,134.09,1877.26
2024/1/11,Houston,KD,18,139.27,2506.86
2024/1/11,Houston,Kyrie,18,124.69,2244.42
2024/1/11,Miami,Luka,8,116.11,928.88
2024/1/11,Miami,Jordan,12,140.87,1690.44
2024/1/11,Miami,LeBron,20,140.62,2812.4
2024/1/11,Miami,KD,7,139.6,977.2
2024/1/11,Miami,Kyrie,18,120.44,2167.92
2024/1/12,New York,Luka,2,128.78,257.56
2024/1/12,New York,Jordan,5,141.97,709.85
2024/1/12,New York,LeBron,10,135,1350
2024/1/12,New York,KD,14,137.87,1930.18
2024/1/12,New York,Kyrie,20,130.51,2610.2
2024/1/12,Los Angeles,Luka,16,120.43,1926.88
2024/1/12,Los Angeles,Jordan,0,154.08,0
2024/1/12,Los Angeles,LeBron,12,133.91,1606.92
2024/1/12,Los Angeles,KD,20,130.85,2617
2024/1/12,Los Angeles,Kyrie,6,121,726
2024/1/12,Chicago,Luka,15,121.98,1829.7
2024/1/12,Chicago,Jordan,12,147.41,1768.92
2024/1/12,Chicago,LeBron,17,141.11,2398.87
2024/1/12,Chicago,KD,18,130.11,2341.98
2024/1/12,Chicago,Kyrie,13,131.51,1709.63
2024/1/12,Houston,Luka,4,129.47,517.88
2024/1/12,Houston,Jordan,19,153.96,2925.24
2024/1/12,Houston,LeBron,2,149.55,299.1
2024/1/12,Houston,KD,2,128.06,256.12
2024/1/12,Houston,Kyrie,6,126.53,759.18
2024/1/12,Miami,Luka,11,119.67,1316.37
2024/1/12,Miami,Jordan,8,155.13,1241.04
2024/1/12,Miami,LeBron,6,131.71,790.26
2024/1/12,Miami,KD,20,128.31,2566.2
2024/1/12,Miami,Kyrie,1,125.97,125.97
2024/1/13,New York,Luka,1,127.98,127.98
2024/1/13,New York,Jordan,2,156.72,313.44
2024/1/13,New York,LeBron,12,146.05,1752.6
2024/1/13,New York,KD,6,131.67,790.02
2024/1/13,New York,Kyrie,9,131.78,1186.02
2024/1/13,Los Angeles,Luka,6,115.99,695.94
2024/1/13,Los Angeles,Jordan,3,143.16,429.48
2024/1/13,Los Angeles,LeBron,10,138.37,1383.7
2024/1/13,Los Angeles,KD,7,131.99,923.93
2024/1/13,Los Angeles,Kyrie,10,128.63,1286.3
2024/1/13,Chicago,Luka,18,116.97,2105.46
2024/1/13,Chicago,Jordan,7,151.82,1062.74
2024/1/13,Chicago,LeBron,5,137.61,688.05
2024/1/13,Chicago,KD,6,121.24,727.44
2024/1/13,Chicago,Kyrie,1,129.96,129.96
2024/1/13,Houston,Luka,20,110.93,2218.6
2024/1/13,Houston,Jordan,20,142.46,2849.2
2024/1/13,Houston,LeBron,13,135.63,1763.19
2024/1/13,Houston,KD,8,138.28,1106.24
2024/1/13,Houston,Kyrie,19,116.06,2205.14
2024/1/13,Miami,Luka,9,115.88,1042.92
2024/1/13,Miami,Jordan,1,159.64,159.64
2024/1/13,Miami,LeBron,8,141.41,1131.28
2024/1/13,Miami,KD,10,137.92,1379.2
2024/1/13,Miami,Kyrie,6,134.29,805.74
2024/1/14,New York,Luka,17,129.63,2203.71
2024/1/14,New York,Jordan,4,157.54,630.16
2024/1/14,New York,LeBron,20,142.49,2849.8
2024/1/14,New York,KD,19,129.89,2467.91
2024/1/14,New York,Kyrie,14,133.99,1875.86
2024/1/14,Los Angeles,Luka,11,125.59,1381.49
2024/1/14,Los Angeles,Jordan,11,148.59,1634.49
2024/1/14,Los Angeles,LeBron,19,143.97,2735.43
2024/1/14,Los Angeles,KD,18,125.85,2265.3
2024/1/14,Los Angeles,Kyrie,19,131.54,2499.26
2024/1/14,Chicago,Luka,16,120.01,1920.16
2024/1/14,Chicago,Jordan,13,141.23,1835.99
2024/1/14,Chicago,LeBron,1,140.62,140.62
2024/1/14,Chicago,KD,4,128.46,513.84
2024/1/14,Chicago,Kyrie,15,127.72,1915.8
2024/1/14,Houston,Luka,8,118.13,945.04
2024/1/14,Houston,Jordan,11,157.65,1734.15
2024/1/14,Houston,LeBron,4,142.01,568.04
2024/1/14,Houston,KD,12,139.47,1673.64
2024/1/14,Houston,Kyrie,8,116.44,931.52
2024/1/14,Miami,Luka,10,122.73,1227.3
2024/1/14,Miami,Jordan,2,149.1,298.2
2024/1/14,Miami,LeBron,15,142.32,2134.8
2024/1/14,Miami,KD,11,137.95,1517.45
2024/1/14,Miami,Kyrie,17,116.86,1986.62
2024/1/15,New York,Luka,7,119.82,838.74
2024/1/15,New York,Jordan,14,155.01,2170.14
2024/1/15,New York,LeBron,17,138.65,2357.05
2024/1/15,New York,KD,7,137.35,961.45
2024/1/15,New York,Kyrie,6,123.27,739.62
2024/1/15,Los Angeles,Luka,9,115.31,1037.79
2024/1/15,Los Angeles,Jordan,20,143.5,2870
2024/1/15,Los Angeles,LeBron,6,137.94,827.64
2024/1/15,Los Angeles,KD,20,125.82,2516.4
2024/1/15,Los Angeles,Kyrie,1,121.2,121.2
2024/1/15,Chicago,Luka,13,110.26,1433.38
2024/1/15,Chicago,Jordan,9,155.74,1401.66
2024/1/15,Chicago,LeBron,10,141.76,1417.6
2024/1/15,Chicago,KD,5,120.54,602.7
2024/1/15,Chicago,Kyrie,20,127.24,2544.8
2024/1/15,Houston,Luka,8,110.43,883.44
2024/1/15,Houston,Jordan,5,146.35,731.75
2024/1/15,Houston,LeBron,18,145.64,2621.52
2024/1/15,Houston,KD,9,120.93,1088.37
2024/1/15,Houston,Kyrie,10,123.79,1237.9
2024/1/15,Miami,Luka,9,122.62,1103.58
2024/1/15,Miami,Jordan,8,147.31,1178.48
2024/1/15,Miami,LeBron,16,141.9,2270.4
2024/1/15,Miami,KD,10,123.6,1236
2024/1/15,Miami,Kyrie,9,124.53,1120.77
2024/1/16,New York,Luka,11,129.86,1428.46
2024/1/16,New York,Jordan,16,147.64,2362.24
2024/1/16,New York,LeBron,14,142.97,2001.58
2024/1/16,New York,KD,4,136.78,547.12
2024/1/16,New York,Kyrie,11,118.53,1303.83
2024/1/16,Los Angeles,Luka,11,118.96,1308.56
2024/1/16,Los Angeles,Jordan,3,141.22,423.66
2024/1/16,Los Angeles,LeBron,7,131.19,918.33
2024/1/16,Los Angeles,KD,0,126.36,0
2024/1/16,Los Angeles,Kyrie,14,122.15,1710.1
2024/1/16,Chicago,Luka,16,120.17,1922.72
2024/1/16,Chicago,Jordan,18,154.91,2788.38
2024/1/16,Chicago,LeBron,2,149.44,298.88
2024/1/16,Chicago,KD,2,130.14,260.28
2024/1/16,Chicago,Kyrie,1,119.59,119.59
2024/1/16,Houston,Luka,1,126.04,126.04
2024/1/16,Houston,Jordan,13,158.52,2060.76
2024/1/16,Houston,LeBron,6,132.85,797.1
2024/1/16,Houston,KD,8,138.18,1105.44
2024/1/16,Houston,Kyrie,12,129.44,1553.28
2024/1/16,Miami,Luka,14,120.66,1689.24
2024/1/16,Miami,Jordan,0,150.1,0
2024/1/16,Miami,LeBron,16,144.12,2305.92
2024/1/16,Miami,KD,5,133.45,667.25
2024/1/16,Miami,Kyrie,5,126.07,630.35
2024/1/17,New York,Luka,2,126.42,252.84
2024/1/17,New York,Jordan,15,152.23,2283.45
2024/1/17,New York,LeBron,6,143.25,859.5
2024/1/17,New York,KD,0,121.34,0
2024/1/17,New York,Kyrie,16,116.53,1864.48
2024/1/17,Los Angeles,Luka,7,111.35,779.45
2024/1/17,Los Angeles,Jordan,18,146.04,2628.72
2024/1/17,Los Angeles,LeBron,1,138.66,138.66
2024/1/17,Los Angeles,KD,10,131.06,1310.6
2024/1/17,Los Angeles,Kyrie,11,133.27,1465.97
2024/1/17,Chicago,Luka,3,110.81,332.43
2024/1/17,Chicago,Jordan,16,151.41,2422.56
2024/1/17,Chicago,LeBron,15,136.87,2053.05
2024/1/17,Chicago,KD,0,135.4,0
2024/1/17,Chicago,Kyrie,15,125.26,1878.9
2024/1/17,Houston,Luka,5,121.47,607.35
2024/1/17,Houston,Jordan,12,157.34,1888.08
2024/1/17,Houston,LeBron,1,141.17,141.17
2024/1/17,Houston,KD,19,134.03,2546.57
2024/1/17,Houston,Kyrie,9,127.28,1145.52
2024/1/17,Miami,Luka,12,126.56,1518.72
2024/1/17,Miami,Jordan,15,153.44,2301.6
2024/1/17,Miami,LeBron,19,135.62,2576.78
2024/1/17,Miami,KD,4,120.23,480.92
2024/1/17,Miami,Kyrie,20,128.06,2561.2
2024/1/18,New York,Luka,6,129.98,779.88
2024/1/18,New York,Jordan,2,158.93,317.86
2024/1/18,New York,LeBron,9,146.62,1319.58
2024/1/18,New York,KD,1,133.35,133.35
2024/1/18,New York,Kyrie,4,125.01,500.04
2024/1/18,Los Angeles,Luka,7,117.34,821.38
2024/1/18,Los Angeles,Jordan,0,140.75,0
2024/1/18,Los Angeles,LeBron,20,143.21,2864.2
2024/1/18,Los Angeles,KD,13,125.63,1633.19
2024/1/18,Los Angeles,Kyrie,9,115.2,1036.8
2024/1/18,Chicago,Luka,19,121.24,2303.56
2024/1/18,Chicago,Jordan,12,143.29,1719.48
2024/1/18,Chicago,LeBron,19,147.28,2798.32
2024/1/18,Chicago,KD,14,135.75,1900.5
2024/1/18,Chicago,Kyrie,14,127.23,1781.22
2024/1/18,Houston,Luka,13,127.61,1658.93
2024/1/18,Houston,Jordan,7,143.4,1003.8
2024/1/18,Houston,LeBron,16,139.97,2239.52
2024/1/18,Houston,KD,17,120.27,2044.59
2024/1/18,Houston,Kyrie,13,115.03,1495.39
2024/1/18,Miami,Luka,1,125.91,125.91
2024/1/18,Miami,Jordan,6,156.61,939.66
2024/1/18,Miami,LeBron,20,144.61,2892.2
2024/1/18,Miami,KD,8,132.02,1056.16
2024/1/18,Miami,Kyrie,4,130.47,521.88
2024/1/19,New York,Luka,13,125.89,1636.57
2024/1/19,New York,Jordan,10,144.01,1440.1
2024/1/19,New York,LeBron,18,147.93,2662.74
2024/1/19,New York,KD,13,129.87,1688.31
2024/1/19,New York,Kyrie,4,134.3,537.2
2024/1/19,Los Angeles,Luka,10,115.82,1158.2
2024/1/19,Los Angeles,Jordan,15,152.46,2286.9
2024/1/19,Los Angeles,LeBron,19,140.46,2668.74
2024/1/19,Los Angeles,KD,9,131.86,1186.74
2024/1/19,Los Angeles,Kyrie,18,131.67,2370.06
2024/1/19,Chicago,Luka,4,128.99,515.96
2024/1/19,Chicago,Jordan,8,147.83,1182.64
2024/1/19,Chicago,LeBron,16,130.72,2091.52
2024/1/19,Chicago,KD,2,137.05,274.1
2024/1/19,Chicago,Kyrie,12,119.3,1431.6
2024/1/19,Houston,Luka,2,118.04,236.08
2024/1/19,Houston,Jordan,10,151.56,1515.6
2024/1/19,Houston,LeBron,10,145.26,1452.6
2024/1/19,Houston,KD,12,126.9,1522.8
2024/1/19,Houston,Kyrie,2,123.35,246.7
2024/1/19,Miami,Luka,6,123.58,741.48
2024/1/19,Miami,Jordan,5,155.08,775.4
2024/1/19,Miami,LeBron,7,136.24,953.68
2024/1/19,Miami,KD,6,136.17,817.02
2024/1/19,Miami,Kyrie,2,119.48,238.96
2024/1/20,New York,Luka,18,114.57,2062.26
2024/1/20,New York,Jordan,18,159.67,2874.06
2024/1/20,New York,LeBron,20,130.74,2614.8
2024/1/20,New York,KD,5,130.29,651.45
2024/1/20,New York,Kyrie,17,116.84,1986.28
2024/1/20,Los Angeles,Luka,20,112.45,2249
2024/1/20,Los Angeles,Jordan,8,147.14,1177.12
2024/1/20,Los Angeles,LeBron,18,147.9,2662.2
2024/1/20,Los Angeles,KD,2,133.13,266.26
2024/1/20,Los Angeles,Kyrie,10,124.46,1244.6
2024/1/20,Chicago,Luka,0,121.72,0
2024/1/20,Chicago,Jordan,14,147.73,2068.22
2024/1/20,Chicago,LeBron,2,140.82,281.64
2024/1/20,Chicago,KD,14,137.26,1921.64
2024/1/20,Chicago,Kyrie,16,129.89,2078.24
2024/1/20,Houston,Luka,6,117.48,704.88
2024/1/20,Houston,Jordan,15,150.15,2252.25
2024/1/20,Houston,LeBron,9,133.6,1202.4
2024/1/20,Houston,KD,4,134.96,539.84
2024/1/20,Houston,Kyrie,16,132.55,2120.8
2024/1/20,Miami,Luka,8,124.41,995.28
2024/1/20,Miami,Jordan,6,140.98,845.88
2024/1/20,Miami,LeBron,20,148.76,2975.2
2024/1/20,Miami,KD,6,125.87,755.22
2024/1/20,Miami,Kyrie,5,123.06,615.3
2024/1/21,New York,Luka,12,128.7,1544.4
2024/1/21,New York,Jordan,13,155.96,2027.48
2024/1/21,New York,LeBron,0,134.61,0
2024/1/21,New York,KD,16,135.77,2172.32
2024/1/21,New York,Kyrie,9,120.16,1081.44
2024/1/21,Los Angeles,Luka,12,116,1392
2024/1/21,Los Angeles,Jordan,12,140.96,1691.52
2024/1/21,Los Angeles,LeBron,3,138.49,415.47
2024/1/21,Los Angeles,KD,2,133.01,266.02
2024/1/21,Los Angeles,Kyrie,1,123.47,123.47
2024/1/21,Chicago,Luka,20,114.78,2295.6
2024/1/21,Chicago,Jordan,8,146.65,1173.2
2024/1/21,Chicago,LeBron,0,143.43,0
2024/1/21,Chicago,KD,2,139.11,278.22
2024/1/21,Chicago,Kyrie,9,125.2,1126.8
2024/1/21,Houston,Luka,16,113.58,1817.28
2024/1/21,Houston,Jordan,10,143.19,1431.9
2024/1/21,Houston,LeBron,11,146.2,1608.2
2024/1/21,Houston,KD,7,131.79,922.53
2024/1/21,Houston,Kyrie,13,132.11,1717.43
2024/1/21,Miami,Luka,13,119.8,1557.4
2024/1/21,Miami,Jordan,0,153.91,0
2024/1/21,Miami,LeBron,20,144.17,2883.4
